date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:12:41	163/163	---MCZ	200	added ('OK')	text/plain	etag:%221d703bcc257fc35%22	https://kalle-blog.azurewebsites.net/robots.txt		(from )
07:12:42	61431/61431	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2007:12:40%20GMT	https://kalle-blog.azurewebsites.net/	/tmp/data/index-2.html	(from )
07:12:42	16780/16780	---MCZ	200	added ('OK')	text/css	etag:%221d5f5436eedb50c%22	https://kalle-blog.azurewebsites.net/css/base.css?dt=638002915614788131	/tmp/data/css/base9452.css	(from https://kalle-blog.azurewebsites.net/)
07:12:44	22784/22784	---MCZ	200	added ('OK')	text/css	etag:%221d5f5436eedad80%22	https://kalle-blog.azurewebsites.net/css/vendor.css?dt=638002915614788131	/tmp/data/css/vendor9452.css	(from https://kalle-blog.azurewebsites.net/)
07:12:45	88833/88833	---MCZ	200	added ('OK')	text/css	etag:%221d80aa69a7bd301%22	https://kalle-blog.azurewebsites.net/css/main.css?dt=638002915614788131	/tmp/data/css/main9452.css	(from https://kalle-blog.azurewebsites.net/)
07:12:46	8420/8420	---MCZ	200	added ('OK')	application/javascript	etag:%221d5f5436eedd464%22	https://kalle-blog.azurewebsites.net/js/modernizr.js	/tmp/data/js/modernizr.js	(from https://kalle-blog.azurewebsites.net/)
07:12:46	6295/6295	---M--	200	added ('OK')	image/png	etag:%221d5f5436eedec17%22	https://kalle-blog.azurewebsites.net/images/logo2.png	/tmp/data/images/logo2.png	(from https://kalle-blog.azurewebsites.net/)
07:12:48	8625/8625	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2007:12:47%20GMT	https://kalle-blog.azurewebsites.net/about	/tmp/data/about.html	(from https://kalle-blog.azurewebsites.net/)
07:12:49	33190/33190	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2007:12:48%20GMT	https://kalle-blog.azurewebsites.net/blog/category/azure	/tmp/data/blog/category/azure.html	(from https://kalle-blog.azurewebsites.net/)
07:12:50	24004/24004	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2007:12:49%20GMT	https://kalle-blog.azurewebsites.net/blog/category/azure-devops	/tmp/data/blog/category/azure-devops.html	(from https://kalle-blog.azurewebsites.net/)
